noms,annees,remuneration,type
guerini-stanislas,2013.0,27928.0,Net
guerini-stanislas,2014.0,74920.0,Net
guerini-stanislas,2015.0,85496.0,Net
guerini-stanislas,2016.0,97055.0,Net
guerini-stanislas,2017.0,44315.0,Net
kuster-brigitte,2014.0,50370.0,Brut
kuster-brigitte,2015.0,50368.0,Brut
kuster-brigitte,2016.0,50273.0,Brut
kuster-brigitte,2017.0,12502.0,Brut
kuster-brigitte,2015.0,29947.0,Brut
kuster-brigitte,2016.0,32958.0,Brut
kuster-brigitte,2017.0,17864.0,Brut
lang-anne-christine,2011.0,50400.0,Net
lang-anne-christine,2012.0,50400.0,Net
lang-anne-christine,2013.0,50400.0,Net
lang-anne-christine,2014.0,50400.0,Net
lang-anne-christine,2011.0,10440.0,Net
lang-anne-christine,2012.0,10440.0,Net
lang-anne-christine,2013.0,10440.0,Net
lang-anne-christine,2014.0,3720.0,Net
lang-anne-christine,2011.0,26940.0,Net
lang-anne-christine,2012.0,26940.0,Net
lang-anne-christine,2013.0,26940.0,Net
lang-anne-christine,2014.0,25000.0,Net
lang-anne-christine,2015.0,25000.0,Net
lang-anne-christine,2016.0,25000.0,Net
lang-anne-christine,2017.0,25000.0,Net
le-gendre-gilles,2011.0,72519.0,Net
le-gendre-gilles,2012.0,62500.0,Net
le-gendre-gilles,2013.0,62539.0,Net
le-gendre-gilles,2014.0,65527.0,Net
le-gendre-gilles,2015.0,69627.0,Net
le-gendre-gilles,2016.0,63291.0,Net
le-gendre-gilles,2017.0,41996.0,Net
le-gendre-gilles,2011.0,0.0,Brut
le-gendre-gilles,2012.0,0.0,Brut
le-gendre-gilles,2013.0,0.0,Brut
le-gendre-gilles,2014.0,0.0,Brut
le-gendre-gilles,2015.0,0.0,Brut
le-gendre-gilles,2016.0,0.0,Brut
le-gendre-gilles,2017.0,0.0,Brut
mahjoubi-mounir,2017.0,60135.0,Net
mahjoubi-mounir,2018.0,96600.0,Net
mahjoubi-mounir,2019.0,32200.0,Net
mahjoubi-mounir,2012.0,22838.0,Net
mahjoubi-mounir,2013.0,52435.0,Net
mahjoubi-mounir,2014.0,82149.0,Net
mahjoubi-mounir,2015.0,98421.0,Net
mahjoubi-mounir,2016.0,64797.0,Net
mahjoubi-mounir,2016.0,0.0,Brut
mahjoubi-mounir,2017.0,0.0,Brut
mahjoubi-mounir,2012.0,0.0,Brut
mahjoubi-mounir,2012.0,0.0,Brut
mahjoubi-mounir,2013.0,0.0,Brut
mahjoubi-mounir,2014.0,0.0,Brut
mahjoubi-mounir,2017.0,0.0,Brut
mahjoubi-mounir,2016.0,0.0,Brut
mahjoubi-mounir,2017.0,0.0,Brut
mahjoubi-mounir,2016.0,0.0,Brut
mahjoubi-mounir,2017.0,0.0,Brut
maillard-sylvain,2011.0,30000.0,Net
maillard-sylvain,2012.0,30000.0,Net
maillard-sylvain,2013.0,30000.0,Net
maillard-sylvain,2014.0,30000.0,Net
maillard-sylvain,2015.0,30000.0,Net
maillard-sylvain,2016.0,30000.0,Net
maillard-sylvain,2017.0,30000.0,Net
maillard-sylvain,2019.0,0.0,Brut
maillard-sylvain,2014.0,9600.0,Net
maillard-sylvain,2015.0,14400.0,Net
maillard-sylvain,2016.0,12000.0,Net
obono-daniele,2014.0,5604.0,Net
obono-daniele,2015.0,25929.0,Net
obono-daniele,2016.0,21442.0,Net
obono-daniele,2017.0,10885.0,Net
pau-langevin-george,2013.0,75897.0,Net
pau-langevin-george,2014.0,73349.0,Net
pau-langevin-george,2015.0,72004.0,Net
pau-langevin-george,2016.0,53021.0,Net
pau-langevin-george,2012.0,1266.0,Net
person-pierre,2014.0,7800.0,Brut
person-pierre,2015.0,10900.0,Brut
person-pierre,2016.0,2800.0,Net
person-pierre,2017.0,14601.0,Net
person-pierre,2015.0,4600.0,Brut
person-pierre,2016.0,32400.0,Brut
renson-hugues,2013.0,79722.0,Net
renson-hugues,2014.0,130176.0,Net
renson-hugues,2015.0,128713.0,Net
renson-hugues,2016.0,137246.0,Net
renson-hugues,2017.0,104187.0,Net
renson-hugues,2012.0,26500.0,Net
renson-hugues,2013.0,26574.0,Net
renson-hugues,2012.0,51000.0,Net
renson-hugues,2013.0,0.0,Net
renson-hugues,2014.0,0.0,Net
renson-hugues,2015.0,0.0,Net
renson-hugues,2016.0,0.0,Net
renson-hugues,2017.0,0.0,Net
rupin-pacome,2016.0,11200.0,Net
rupin-pacome,2017.0,18372.0,Net
rupin-pacome,2012.0,3666.0,Net
rupin-pacome,2013.0,1750.0,Net
rupin-pacome,2012.0,0.0,Net
rupin-pacome,2013.0,0.0,Net
rupin-pacome,2014.0,12687.0,Net
