depute,salaire_moyen
gauvain-raphael,164275.2857142857
lardet-frederique,138423.83333333334
bachelier-florian,131384.85714285713
fuchs-bruno,126945.0
laqhila-mohamed,125864.2
marilossian-jacques,118273.0
cazeneuve-jean-rene,117352.75
vallaud-boris,109078.7
michels-thierry,105837.71428571429
melenchon-jean-luc,93026.14285714286
baichere-didier,88690.83333333333
paris-didier,83004.29411764706
borowczyk-julien,80028.57142857143
fauvergue-jean-michel,77985.875
mattei-jean-paul,76600.625
granjus-florence,76260.85714285714
millienne-bruno,74660.7
rixain-marie-pierre,73403.85714285714
moutchou-naima,71442.85714285714
hammouche-brahim,69127.85714285714
de-rugy-francois,69021.4
gerard-raphael,69000.66666666667
dumas-frederique,66307.5925925926
guerini-stanislas,65942.8
maire-jacques,63123.5
gregoire-olivia,63051.0
joncour-bruno,63041.0
pompili-barbara,62508.5
savatier-jacques,62205.72222222222
solere-thierry,61699.0
giraud-joel,61303.333333333336
molac-paul,60276.333333333336
mignola-patrick,58645.954545454544
dubie-jeanine,57641.833333333336
pau-langevin-george,55107.4
hennion-christine,55043.92857142857
michel-monica,54857.142857142855
cariou-emilie,53183.88888888889
charriere-sylvie,52781.28571428572
causse-lionel,52731.857142857145
renson-hugues,52624.46153846154
bouyx-bertrand,51291.333333333336
vichnievsky-laurence,51273.57142857143
kervran-loic,51205.42857142857
gaultier-jean-jacques,51053.944444444445
dubois-marianne,50043.5
hetzel-patrick,48942.71428571428
travert-stephane,48829.7
deflesselles-bernard,48102.0
krabal-jacques,48049.0
toutut-picard-elisabeth,47898.42857142857
verdier-jouclas-marie-christine,47315.28571428572
delatte-marc,47065.8
besson-moreau-gregory,46142.5
pitollat-claire,45816.0
naegelen-christophe,45525.42105263158
jolivet-francois,45446.666666666664
descrozaille-frederic,45000.0
do-stephanie,44968.71428571428
guevenoux-marie,44625.0
colombani-paul-andre,44598.705882352944
batut-xavier,44305.857142857145
euzet-christophe,44016.666666666664
tamarelle-verhaeghe-marie-8844,43650.0
de-ganay-claude,43288.666666666664
falorni-olivier,43288.5
tuffnell-frederique,43197.666666666664
cabare-pierre,42656.0
krimi-sonia,42455.8
corneloup-josiane-2422,42439.0
trisse-nicole,42140.0
kasbarian-guillaume,41518.375
morch-sandrine,41324.166666666664
mis-jean-michel,40512.142857142855
perrot-patrice,40093.857142857145
leguille-balloy-martine,39734.444444444445
fievet-jean-marie,39338.142857142855
kokouendo-rodrigue,38817.0
de-lavergne-celia,38601.8
saint-martin-laurent,38545.454545454544
park-zivka,38240.375
barrot-jean-noel,38159.875
dufeu-schubert-audrey,38091.0
mauborgne-sereine,37702.7
andre-francois,37500.0
goulet-perrine,37422.0
calvez-celine,37238.88888888889
demoulin-nicolas,36734.28571428572
rubin-sabine,36204.0
teste-stephane,36096.0
clapot-mireille,35895.333333333336
batho-delphine,35642.333333333336
jacquier-laforge-elodie,35186.125
rist-stephanie,34909.07142857143
kuster-brigitte,34897.42857142857
loiseau-patrick-16140,34753.71428571428
grandjean-carole,34304.25
dombreval-loic,34159.47826086957
terlier-jean,33367.90909090909
david-dominique,33284.0
victory-michele,33055.666666666664
grau-romain,32987.82608695652
chalas-emilie,32833.545454545456
chiche-guillaume,32822.0
gaillot-albane,32326.333333333332
touraine-jean-louis,32260.0
quentin-didier,32176.4
pueyo-joaquim,32053.833333333332
houlie-sacha,31800.0
le-gendre-gilles,31285.64285714286
untermaier-cecile,31207.5
tiegna-huguette,31125.0
orphelin-matthieu,30864.454545454544
saulignac-herve-8266,30525.263157894737
cormier-bouligeon-francois,30450.0
de-temmerman-jennifer,30438.166666666668
isaac-sibille-cyrille,30427.82222222222
straumann-eric,30261.846153846152
sommer-denis,30059.64285714286
le-grip-constance,29948.333333333332
berta-philippe,29849.0
battistel-marie-noelle,29678.375
peyron-michele,29600.0
saint-paul-laetitia,29333.333333333332
haury-yannick,29160.190476190477
masseglia-denis,29138.75
pancher-bertrand,29102.722222222223
vigier-philippe,28887.777777777777
dassault-olivier,28856.573529411766
colas-roy-jean-charles,28698.636363636364
hai-nadia,28582.0
sylla-sira,28561.2
portarrieu-jean-francois,28457.14285714286
couillard-berangere,28327.0
florennes-isabelle,28117.571428571428
tache-aurelien,28103.88888888889
firmin-le-bodo-agnes,27967.739130434784
labaronne-daniel,27927.882352941175
pont-jean-pierre,27919.55
lang-anne-christine,27830.666666666668
tanguy-liliana,27748.083333333332
martin-didier,27567.590909090908
venteau-pierre-16721,27553.9
petel-anne-laurence,27506.2
goasguen-claude,27493.222222222223
bagarry-delphine-12779,27468.0
boyer-valerie,27344.8125
larsonneur-jean-charles,26881.14285714286
bessot-ballot-barbara,26836.222222222223
mahjoubi-mounir,26819.736842105263
lazaar-fiona,26713.571428571428
ferrara-jean-jacques,26500.315789473683
givernet-olga,26468.076923076922
chalumeau-philippe,26362.88
cellier-anthony,26346.090909090908
kamowski-catherine,26192.0
cesarini-jean-francois,26130.3
eliaou-jean-francois,26101.709677419356
ruffin-francois,25985.53846153846
potterie-benoit,25922.72972972973
bouchet-jean-claude,25795.5
vidal-annie,25665.3
dubois-jacqueline,25522.0
fontaine-domeizel-emmanuelle,25385.5
de-courson-yolaine,25369.14285714286
garcia-laurent,25342.428571428572
racon-bouzon-cathy,25333.428571428572
beaudouin-hubiere-sophie-12855,25306.875
studer-bruno,25294.14285714286
petelle-benedicte-14889,24821.666666666668
avia-laetitia,24726.25
waserman-sylvain,24720.785714285714
gayte-laurence,24631.4
vanceunebrock-mialon-laurence,24166.85714285714
taugourdeau-jean-charles,24128.636363636364
paluszkiewicz-xavier,23961.81818181818
bricout-jean-louis,23711.714285714286
villiers-andre-8973,23644.8
lecocq-charlotte,23565.0
chapelier-annie,23530.0
ramadier-alain,23448.0
lorho-marie-france,23391.928571428572
abad-damien,23389.333333333332
tourret-alain,23329.6
luquet-aude,22900.0
lemoine-patricia,22831.714285714286
fanget-michel,22806.896551724138
limon-monique,22603.666666666668
provendier-florence,22542.117647058825
latombe-philippe,22500.0
maillard-sylvain,22363.636363636364
reitzer-jean-luc,22344.4
david-alain,22207.95
zulesi-jean-marc,22172.5
daniel-yves,22079.58823529412
guerel-emilie,21945.0
bru-vincent,21523.655172413793
delpon-michel,21418.714285714286
jacob-christian,21226.0
carrez-gilles,21162.533333333333
ferrand-richard,21118.04
karamanli-marietta,21038.526315789473
peltier-guillaume,20665.969696969696
le-pen-marine,20437.25925925926
prud-homme-loic,20246.833333333332
le-vigoureux-fabrice,20204.78947368421
dumas-francoise,20040.88888888889
gomez-bassac-valerie,20024.947368421053
ahamada-said,19956.714285714286
laine-fabien,19938.129032258064
aliot-louis,19770.7
rossi-laurianne,19738.363636363636
pahun-jimmy,19720.0
chassaing-philippe,19233.5
ledoux-vincent,19079.75
riotton-veronique,19048.4
le-gac-didier-5234,18985.714285714286
bureau-bonnard-carole,18949.2
osson-catherine,18908.69230769231
perea-alain,18849.17391304348
cherpion-gerard,18827.0
piron-beatrice,18793.625
lecoq-jean-paul,18703.739130434784
elimas-nathalie,18604.8
wonner-martine,18568.454545454544
dalloz-marie-christine,18560.0
robert-mireille,18425.4
ressiguier-muriel,18315.222222222223
demilly-stephane,18190.222222222223
pinel-sylvia,18128.58823529412
oppelt-valerie,18005.88888888889
gouffier-cha-guillaume,17981.636363636364
berge-aurore,17930.117647058825
cattelot-anne-laure,17750.0
gaillard-olivier-3897,17735.48148148148
motin-cendra,17609.090909090908
boyer-pascale,17574.11111111111
mazars-stephane,17412.048780487807
jumel-sebastien,17395.243243243243
bourlanges-jean-louis,17206.0
colboc-fabienne,17143.166666666668
sempastous-jean-bernard,17108.791666666668
janvier-caroline,17094.25
viry-stephane,17043.14285714286
menuel-gerard,17031.35714285714
julien-laferriere-hubert,16995.81818181818
bois-pascal,16825.85714285714
deprez-audebert-marguerite,16761.64
descamps-beatrice-13212,16731.736842105263
fugit-jean-luc,16632.0
quatennens-adrien,16631.571428571428
herin-daniele,16611.17391304348
dirx-benjamin,16508.933333333334
gipson-severine,16485.333333333332
kerbarh-stephanie,16395.11111111111
brunet-anne-france,16319.0
petit-valerie,16179.739130434782
buchou-stephane,16157.076923076924
aviragnet-joel,16145.454545454546
obono-daniele,15965.0
vignon-corinne,15945.615384615385
le-fur-marc,15899.0
cornut-gentille-francois,15736.631578947368
thiebaut-vincent,15691.125
lauzzana-michel,15605.258064516129
kuric-aina,15600.0
bridey-jean-jacques,15585.714285714286
berville-herve,15342.666666666666
de-sarnez-marielle,15208.952380952382
pauget-eric-6497,15202.516129032258
valetta-ardisson-alexandra,15093.916666666666
dharreville-pierre,15048.0
crouzet-michele-9861,14969.866666666667
veran-olivier,14948.0
louis-alexandra,14902.0
parigi-jean-francois-6407,14896.121951219513
laabid-mustapha,14852.785714285714
beauvais-valerie,14796.727272727272
gouttefarde-fabien,14747.357142857143
mbaye-jean-francois,14673.75
garot-guillaume,14662.538461538461
fabre-catherine,14629.8
lioger-richard,14610.81081081081
trompille-stephane,14322.9
chouat-francis,14086.95652173913
o-petit-claire,14077.0
valentin-isabelle,13871.57142857143
bouillon-christophe,13836.291666666666
savignat-antoine,13819.047619047618
panot-mathilde,13800.0
rauch-isabelle-7394,13743.681818181818
chassaigne-andre,13629.826086956522
turquois-nicolas,13484.131578947368
meunier-frederique-6851,13457.666666666666
bruneel-alain,13325.666666666666
